Město,Kraj,Celkové hodnocení - calculated,Zdraví a životní prostředí,Materiální zabezpečení a vzdělání,Vztahy a služby,Index praktických lékařů,Index dětských lékařů,Index dojezdu do nemocnice,Index lékáren,Index průměrné délky života,Index znečištění ovzduší,Index znečišťovatelů,Index chráněných území,Index nezaměstnanosti,Index nabídky pracovních míst,Index finanční dostupnosti bydlení,Index hmotné nouze,Index exekucí,Index kapacity mateřských škol,Index kapacity základních škol,Index kvalitních středních škol,Index marketů,Index bankomatů,Index restaurací,Index kin,Index digitalizace,Index silniční sítě,Index železniční dopravy,Index sounáležitosti,Index zájmu o obecní a krajské volby,Index bezpečnosti,Index hazardu,Index stěhování mladých,Index přírůstku obyvatelstva
Boskovice,Jihomoravský kraj,6.3,7.1,3.1,8.6,5,6.7,9.3,5.7,5.2,5.5,5.3,0.6,4.7,1.6,2,8.5,8.6,6,4.4,2.3,1.5,4.4,3.3,5.4,3.7,3.6,0.3,4.4,6.6,7.4,10,10,9.5
Mohelnice,Olomoucký kraj,5.9,5.9,2.7,9,4.9,6.3,4.3,5.6,5.4,3.8,5,1.3,3.4,1.9,2.3,7.5,8.4,3.9,6.4,2.8,6.1,5.2,3.4,3.7,7.8,8,1.3,2.7,4.9,6.8,8.8,9.8,9.3
Kuřim,Jihomoravský kraj,8.2,9.5,7.5,7.7,5,5.6,6.9,6.8,10,4.9,5.3,0.7,7.1,8.6,0.8,8.5,8.7,4.8,2.1,3.6,5,6.2,7.7,2.8,6.9,3.9,0.9,1.9,7.2,7.1,6.2,9.7,10
Mladá Boleslav,Středočeský kraj,6.9,6,7.3,7.3,3.1,4.9,9.5,2.3,5.8,4.3,5.2,3.1,7.6,9.1,2.5,8.7,6.4,2.7,1.3,2.2,1.2,4.3,3,5.9,3.5,6.2,3,1,3.6,3.2,5.6,9.6,9.2
Hořovice,Středočeský kraj,7.0,8.7,6.5,5.8,5.6,7.4,9.4,6.8,6,5.2,6.1,5.3,7.5,7.7,1.7,8.3,7.7,1,2,4.5,3.1,3,5.8,1.4,1,4.7,1.3,3.2,4.8,4.6,4.7,9.3,9.5
Jihlava,Kraj Vysočina,5.8,7.3,3.6,6.4,4,3.5,9.1,2.2,7.1,6.4,5.7,1,7.3,2.8,2.4,8.2,6.8,3.4,3.1,2.8,1.8,1.1,4.7,6.3,4.1,7.3,2.7,4.4,5.7,2.9,10,9,8
Praha,Hlavní město Praha,8.5,9.3,6.7,9.5,6.5,8.1,9.5,6.6,8.7,4.6,2.8,3.1,7.4,7.1,0.7,8.6,7.3,3.7,2,6.6,4.8,8.3,10,10,4.5,0,10,6,6.7,2.2,9.8,8.9,7.5
Beroun,Středočeský kraj,6.3,7.1,4.3,7.5,4.6,9.2,5.5,5,6.3,4.4,3.5,4.6,6.1,4.3,1.5,8.5,7.2,2.8,1.2,5.1,4.2,7.4,7.7,4.7,3.3,5.8,3.4,3.3,4.2,3.5,8,8.9,8
Mnichovo Hradiště,Středočeský kraj,7.1,6.1,8.2,7,2.8,4.8,6.8,2.2,6,4.8,6.4,3.1,7.6,8.4,2.6,9.7,8,0.3,1,8.1,1.7,4.4,7.1,3.2,1.8,6.1,0.4,3.2,3.4,8,10,8.5,7.8
Slavkov u Brna,Jihomoravský kraj,8.0,8.7,6.4,9,6.7,10,5.7,10,6.5,4.2,5,0.6,7.5,6.5,1.1,9.2,8.8,4,1.9,3.8,5.4,7.6,9.2,1.7,1.6,9.2,0.6,3.7,6.8,8.9,5.9,8.2,8.1
