City,Kategorie,Typ,Stav objektu,Konstrukce,Vlastnictví,Užitná plocha od,Užitná plocha do,V okolí,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Benešov,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,27493.0,27374.0,26859.0,27568.0,28852.0,28187.0,28184.0,28650.0,27603.0,28147.0,27908.0,27933.0,28748.0,29301.0,30549.0,31567.0,32664.0,32123.0,31465.0,33013.0,36309.0,32470.0,31541.0,34864.0,32419.0,35073.0,33028.0,32857.0,33914.0,33821.0,36912.0,38803.0,38585.0,37371.0,35878.0,35132.0,38925.0,44273.0,49292.0,53805.0,58630.0,57719.0,57481.0,56738.0,54825.0,52469.0,54165.0,53378.0,52628.0,49068.0,47976.0,49612.0,50102.0,49085.0,49702.0,49504.0,46852.0,47153.0,53095.0,53353.0,52121.0,53573.0,59490.0,55194.0,55022.0,54630.0,52230.0,50437.0,53992.0,51907.0,58166.0,63000.0,59269.0,55739.0,57249.0,63745.0,63479.0,67807.0,64426.0,67596.0,69646.0,67547.0,69485.0,75178.0,75178.0,83698.0,81973.0,82863.0,84357.0,82387.0,81615.0,80774.0,80255.0,79119.0,76012.0,76497.0,78217.0,76840.0,76482.0,75131.0,69708.0,66318.0,65923.0,67601.0,71913.0,71913.0,72885.0,82312.0,97488.0,82204.0,82820.0,79549.0,76229.0,75622.0,77826.0,78493.0,85010.0,84388.0,85164.0,87110.0,78102.0,84302.0,90188.0,84360.0,86999.0,89496.0,80252.0,77505.0,87942.0,94902.0,89261.0,86949.0
Kolín,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,19406.0,20841.0,20863.0,21343.0,21347.0,23934.0,24285.0,24298.0,24854.0,25561.0,25427.0,27346.0,27136.0,25806.0,25530.0,26315.0,25541.0,25683.0,25711.0,25513.0,25178.0,25002.0,25037.0,25221.0,25543.0,26417.0,26821.0,27318.0,28780.0,30181.0,30437.0,30964.0,30780.0,30130.0,32047.0,32980.0,32178.0,32153.0,32087.0,31602.0,31250.0,32881.0,32291.0,32483.0,33554.0,33683.0,33804.0,33130.0,33205.0,35287.0,38997.0,38977.0,39289.0,38135.0,37353.0,39511.0,40419.0,40661.0,39773.0,42132.0,43726.0,44454.0,46127.0,46648.0,49586.0,50442.0,50975.0,50486.0,48416.0,49989.0,50440.0,51520.0,52571.0,52846.0,55826.0,59387.0,62286.0,65682.0,68056.0,68857.0,64051.0,65360.0,67005.0,68958.0,71462.0,73712.0,72623.0,69804.0,69819.0,70324.0,69366.0,68486.0,67223.0,65516.0,64089.0,62762.0,63664.0,64396.0,61862.0,62607.0,57443.0,63077.0,62960.0,61175.0,62371.0,62619.0,63380.0,60645.0,62317.0,65832.0,67026.0,63701.0,64141.0,65378.0,68818.0,64951.0,65482.0,69454.0,70629.0,73775.0,73236.0,82375.0,85970.0,90950.0,88759.0,87340.0,84799.0,84207.0,79534.0,82093.0,82630.0,80289.0
Kralupy nad Vltavou,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,24855.0,24897.0,25615.0,25508.0,26546.0,26457.0,26958.0,27383.0,27940.0,28239.0,27687.0,28229.0,30090.0,30389.0,29345.0,29987.0,30377.0,29816.0,29896.0,29369.0,30019.0,31381.0,35252.0,36345.0,34659.0,35472.0,33803.0,34085.0,35375.0,39885.0,38311.0,37707.0,39406.0,39200.0,37403.0,37137.0,37956.0,40819.0,40337.0,40321.0,40177.0,39291.0,40541.0,41463.0,42605.0,41044.0,40573.0,40256.0,42141.0,41376.0,42101.0,42612.0,42994.0,41020.0,43134.0,44603.0,44597.0,45512.0,45173.0,45711.0,45808.0,50569.0,53136.0,54745.0,54319.0,53584.0,52016.0,48722.0,52386.0,52033.0,54342.0,56128.0,57141.0,56132.0,62021.0,66333.0,57796.0,67387.0,70295.0,72520.0,67202.0,80159.0,75441.0,77668.0,79466.0,80981.0,77614.0,76358.0,75957.0,77230.0,76452.0,77303.0,72676.0,69452.0,68613.0,70591.0,69248.0,69162.0,70178.0,70954.0,75756.0,75190.0,78849.0,76492.0,79459.0,72008.0,75578.0,74835.0,74339.0,74820.0,73408.0,74390.0,70012.0,66901.0,74329.0,75462.0,75813.0,79465.0,81241.0,87997.0,83506.0,84428.0,86473.0,87621.0,94368.0,95715.0,90234.0,91720.0,87051.0,89262.0,92090.0,95006.0
Mnichovo Hradiště,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,22334.0,23010.0,22500.0,22527.0,24451.0,23259.0,23002.0,22521.0,22521.0,22521.0,26773.0,27013.0,28715.0,27092.0,26054.0,29036.0,29486.0,25806.0,25506.0,26465.0,28382.0,29835.0,,,,,28506.0,27954.0,29861.0,31864.0,35135.0,39246.0,39178.0,37727.0,34976.0,35792.0,36860.0,37248.0,34426.0,34563.0,36779.0,36781.0,34000.0,42512.0,45922.0,47240.0,42385.0,43103.0,40970.0,41700.0,40674.0,44311.0,40702.0,40671.0,39001.0,38503.0,39408.0,38805.0,,64285.0,46674.0,46725.0,42262.0,42981.0,40638.0,43012.0,40454.0,40197.0,40680.0,43392.0,49336.0,51435.0,,62173.0,,,64347.0,,,61818.0,56428.0,69024.0,69569.0,55441.0,69303.0,69303.0,94285.0,82629.0,79887.0,81394.0,84194.0,75725.0,75469.0,70148.0,61390.0,61989.0,63520.0,65202.0,63710.0,56706.0,69081.0,67730.0,67730.0,62760.0,67998.0,62872.0,67186.0,71500.0,60590.0,60590.0,58713.0,58713.0,,,,87551.0,84489.0,83745.0,79186.0,77246.0,77246.0,86838.0,88873.0,87960.0,91890.0,86566.0,73382.0,77735.0,76522.0,87313.0,84820.0,83618.0
Nepomuk,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,13017.0,12748.0,12748.0,12950.0,12950.0,12950.0,13036.0,11843.0,11843.0,11744.0,11835.0,11451.0,12699.0,12327.0,12327.0,13365.0,11524.0,11112.0,11112.0,14065.0,14065.0,14912.0,18485.0,19962.0,19263.0,22058.0,20661.0,20661.0,19117.0,18235.0,18235.0,18970.0,17426.0,17426.0,19341.0,19341.0,18627.0,,20588.0,20588.0,22562.0,24482.0,24066.0,24119.0,23035.0,22410.0,22410.0,22410.0,22410.0,23174.0,22604.0,23076.0,,,,,,,26326.0,26326.0,26326.0,26326.0,26326.0,26010.0,26010.0,25694.0,23472.0,30000.0,,,,32096.0,30483.0,,,,,,,,,,,,,47083.0,47083.0,47083.0,50326.0,42273.0,41858.0,39212.0,39531.0,40967.0,39052.0,39531.0,40967.0,40967.0,41583.0,39523.0,38572.0,38572.0,38572.0,41705.0,39267.0,34820.0,46746.0,44496.0,41934.0,32191.0,32191.0,41984.0,43533.0,41155.0,38590.0,38590.0,38383.0,38859.0,39065.0,40388.0,40388.0,45467.0,41984.0,41984.0,38888.0,38888.0,,,,,51724.0,64237.0
Opava,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,18251.0,18260.0,18305.0,18745.0,18934.0,19131.0,19622.0,20377.0,20570.0,20543.0,20569.0,20166.0,20402.0,20108.0,20603.0,20540.0,21687.0,22864.0,22308.0,23620.0,23432.0,23887.0,23796.0,24208.0,24799.0,25556.0,24898.0,25702.0,25739.0,26538.0,26285.0,26293.0,26725.0,27571.0,27824.0,27244.0,27076.0,29275.0,29592.0,30529.0,29407.0,29835.0,29278.0,30752.0,29441.0,30486.0,30494.0,30660.0,30482.0,30794.0,30260.0,30507.0,31590.0,31024.0,30075.0,30492.0,32800.0,31979.0,30688.0,29802.0,29646.0,29319.0,31610.0,33615.0,33671.0,35266.0,35355.0,35299.0,35852.0,35958.0,36357.0,40791.0,39323.0,40019.0,40482.0,43394.0,45282.0,46650.0,44742.0,48252.0,46580.0,48260.0,51096.0,53553.0,54956.0,57093.0,55290.0,51864.0,54431.0,52010.0,51566.0,51194.0,50420.0,48012.0,46859.0,46048.0,45425.0,44856.0,44620.0,44031.0,43355.0,42791.0,43146.0,46668.0,45033.0,47406.0,47159.0,46335.0,47146.0,48533.0,48156.0,49924.0,51517.0,50987.0,51220.0,50892.0,50209.0,52340.0,52904.0,53492.0,52403.0,54224.0,58878.0,64089.0,62307.0,61715.0,61488.0,62161.0,63867.0,65697.0,64077.0,65425.0
Pelhřimov,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,19400.0,19527.0,18961.0,19134.0,19690.0,19562.0,18451.0,18793.0,20810.0,20068.0,20173.0,19968.0,19646.0,19516.0,19516.0,20000.0,22747.0,22222.0,24444.0,,,,,,,30584.0,28942.0,27394.0,26500.0,,,,25090.0,31944.0,30092.0,29475.0,28189.0,28923.0,27477.0,31673.0,28461.0,40972.0,40972.0,40972.0,36940.0,32645.0,32951.0,35777.0,35478.0,36153.0,34566.0,32363.0,30465.0,30389.0,32501.0,29773.0,30593.0,27847.0,26923.0,31829.0,31303.0,31303.0,,31742.0,32844.0,36673.0,34585.0,34666.0,33741.0,,,34558.0,,52368.0,46117.0,44475.0,44993.0,44679.0,44914.0,44284.0,45291.0,45890.0,,55318.0,54207.0,61577.0,61296.0,60465.0,58063.0,52430.0,50067.0,52018.0,51706.0,50857.0,51149.0,52379.0,51109.0,51590.0,49962.0,50019.0,49032.0,49135.0,51833.0,49479.0,48342.0,49266.0,47057.0,43484.0,53438.0,50438.0,49657.0,49558.0,47937.0,49038.0,49759.0,51886.0,47580.0,47023.0,49016.0,49016.0,,70689.0,65273.0,,75181.0,78181.0,68854.0,67351.0,70747.0,68948.0,61177.0,72133.0
městská část břevnov,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,55773.0,58264.0,60412.0,57414.0,62291.0,62527.0,57695.0,63361.0,65292.0,65773.0,65066.0,65411.0,66413.0,64254.0,62962.0,61140.0,61381.0,59909.0,65560.0,66737.0,67241.0,59914.0,61387.0,71005.0,78539.0,94000.0,77151.0,73056.0,70520.0,71466.0,72497.0,70560.0,70961.0,73131.0,81518.0,80328.0,74930.0,73596.0,83966.0,81734.0,72727.0,78056.0,79616.0,81393.0,83362.0,82483.0,82327.0,80435.0,81859.0,84144.0,87173.0,86306.0,89248.0,87083.0,89088.0,85883.0,82775.0,83994.0,93475.0,93475.0,96145.0,90474.0,99287.0,95624.0,95146.0,85000.0,,85507.0,95277.0,91881.0,92059.0,92407.0,,102650.0,104511.0,107941.0,108248.0,110070.0,110909.0,124821.0,117086.0,115157.0,117172.0,119403.0,126738.0,131466.0,126930.0,130852.0,131434.0,130105.0,123920.0,120325.0,118925.0,118806.0,115370.0,108960.0,108355.0,108337.0,110708.0,105512.0,105310.0,109502.0,118002.0,118002.0,115216.0,116787.0,124591.0,129061.0,124023.0,114736.0,116944.0,120765.0,128601.0,127458.0,125177.0,126116.0,123865.0,124428.0,129060.0,126324.0,130244.0,129669.0,127999.0,135053.0,139489.0,138117.0,134440.0,,,158052.0,137625.0,139433.0
městská část chodov,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,42387.0,42131.0,43777.0,44851.0,44985.0,45155.0,45935.0,47276.0,45456.0,46612.0,48304.0,49255.0,47854.0,47629.0,50765.0,50701.0,50451.0,51394.0,52156.0,51457.0,54044.0,55533.0,57787.0,56974.0,56285.0,55696.0,55416.0,56064.0,57608.0,57619.0,58126.0,60740.0,61760.0,61884.0,63919.0,63774.0,63564.0,63080.0,63089.0,64003.0,65510.0,64892.0,66125.0,66500.0,72094.0,70660.0,67412.0,68055.0,67706.0,68997.0,68068.0,69540.0,72271.0,71991.0,70730.0,71844.0,72130.0,71257.0,73156.0,74050.0,71874.0,77615.0,79548.0,83893.0,83770.0,83702.0,82126.0,82263.0,81509.0,83004.0,86818.0,86381.0,89378.0,89504.0,91696.0,93552.0,94176.0,97837.0,100848.0,102989.0,104338.0,106749.0,106097.0,105449.0,108713.0,111645.0,113208.0,113782.0,110631.0,108632.0,109650.0,108424.0,108359.0,107271.0,104947.0,104762.0,104515.0,105628.0,101012.0,101355.0,99455.0,98745.0,101038.0,103151.0,102116.0,104012.0,106946.0,109598.0,107878.0,109485.0,110417.0,110967.0,111332.0,114075.0,114819.0,113848.0,115170.0,115607.0,118374.0,120311.0,122649.0,125529.0,129508.0,125627.0,123700.0,125056.0,124874.0,127436.0,131874.0,133263.0,130741.0,128873.0
Říčany,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,38102.0,38141.0,39674.0,40440.0,40622.0,41784.0,43854.0,44652.0,42179.0,39343.0,43671.0,44074.0,42573.0,40646.0,44526.0,46505.0,45015.0,45862.0,45246.0,47462.0,43220.0,43299.0,56477.0,56477.0,56188.0,54631.0,49476.0,49523.0,48836.0,49527.0,50612.0,56128.0,58868.0,57321.0,53860.0,53626.0,56263.0,55942.0,56268.0,58472.0,57078.0,55460.0,55106.0,55849.0,58263.0,56578.0,72401.0,70524.0,65162.0,67515.0,69479.0,69926.0,66971.0,68366.0,77101.0,64021.0,63024.0,66975.0,68749.0,68200.0,73421.0,68971.0,67721.0,67153.0,62017.0,67102.0,69909.0,65449.0,68242.0,78496.0,82407.0,81515.0,88180.0,88180.0,77666.0,77033.0,70873.0,98991.0,100144.0,93077.0,97391.0,110639.0,110639.0,116949.0,110179.0,105145.0,91415.0,105268.0,107670.0,103421.0,109961.0,111736.0,100106.0,94656.0,95899.0,100373.0,99263.0,87048.0,87872.0,98412.0,107283.0,96816.0,92423.0,89396.0,89878.0,96307.0,103013.0,100686.0,100198.0,99932.0,98252.0,99543.0,99157.0,100403.0,,124444.0,97083.0,97083.0,97083.0,91428.0,91428.0,114142.0,114142.0,112802.0,,,,97083.0,116750.0,114751.0,108504.0,106370.0
