City,Kategorie,Typ,Stav objektu,Konstrukce,Vlastnictví,Užitná plocha od,Užitná plocha do,V okolí,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Benešov,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,103.0,109.0,176.0,290.0,0.0,192.0,0.0,86.0,55.0,0.0,83.0,57.0,80.0,85.0,136.0,144.0,236.0,0.0,37.0,258.0,22.0,0.0,33.0,0.0,127.0,2.0,0.0,0.0,27.0,233.0,64.0,124.0,6.0,213.0,52.0,50.0,87.0,64.0,49.0,146.0,62.0,0.0,0.0,189.0,178.0,6.0,0.0,146.0,249.0,0.0,121.0,173.0,0.0,80.0,161.0,204.0,28.0,45.0,130.0,18.0,281.0,29.0,125.0,1.0,17.0,46.0,77.0,54.0,30.0,66.0,234.0,13.0,24.0,9.0,3.0,51.0,6.0,11.0,41.0,53.0,47.0,0.0,93.0,0.0,46.0,65.0,4.0,46.0,109.0,8.0,53.0,0.0,26.0,2.0,0.0,81.0,68.0,0.0,0.0,367.0,164.0,0.0,229.0,164.0,0.0,490.0,266.0,17.0,0.0,9.0,110.0,76.0,68.0,25.0,0.0,0.0,72.0,28.0,95.0,98.0,100.0,120.0,31.0,74.0,67.0,168.0,41.0,26.0,114.0,9.0,0.0,101.0
Kolín,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,140.0,45.0,129.0,70.0,58.0,96.0,141.0,39.0,59.0,53.0,56.0,25.0,145.0,18.0,51.0,65.0,70.0,43.0,62.0,124.0,42.0,64.0,70.0,80.0,43.0,45.0,26.0,44.0,68.0,30.0,66.0,55.0,67.0,98.0,38.0,117.0,75.0,77.0,73.0,58.0,36.0,90.0,57.0,77.0,82.0,55.0,65.0,48.0,62.0,67.0,27.0,49.0,34.0,44.0,45.0,50.0,90.0,70.0,36.0,39.0,24.0,64.0,16.0,27.0,35.0,44.0,33.0,55.0,52.0,53.0,111.0,63.0,53.0,58.0,43.0,36.0,7.0,54.0,31.0,33.0,17.0,8.0,43.0,66.0,45.0,32.0,45.0,22.0,46.0,41.0,35.0,46.0,109.0,0.0,50.0,94.0,101.0,81.0,174.0,124.0,102.0,96.0,34.0,90.0,86.0,76.0,105.0,51.0,15.0,94.0,24.0,26.0,72.0,73.0,54.0,43.0,65.0,35.0,25.0,52.0,42.0,86.0,14.0,8.0,33.0,87.0,46.0,59.0,41.0,38.0,26.0,77.0
Kralupy nad Vltavou,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,88.0,95.0,75.0,55.0,51.0,22.0,65.0,74.0,97.0,82.0,41.0,120.0,108.0,54.0,38.0,82.0,33.0,30.0,10.0,66.0,46.0,84.0,17.0,65.0,47.0,9.0,40.0,29.0,22.0,102.0,21.0,31.0,27.0,44.0,20.0,37.0,55.0,73.0,38.0,42.0,71.0,49.0,35.0,42.0,73.0,64.0,43.0,28.0,42.0,43.0,20.0,29.0,43.0,46.0,27.0,48.0,70.0,47.0,6.0,71.0,162.0,37.0,31.0,28.0,37.0,68.0,35.0,9.0,43.0,10.0,53.0,5.0,90.0,56.0,3.0,12.0,10.0,22.0,30.0,50.0,40.0,12.0,11.0,30.0,54.0,27.0,23.0,33.0,54.0,44.0,85.0,53.0,65.0,116.0,95.0,122.0,200.0,43.0,122.0,67.0,88.0,119.0,41.0,179.0,119.0,45.0,77.0,16.0,46.0,168.0,82.0,127.0,38.0,15.0,43.0,78.0,106.0,66.0,105.0,28.0,60.0,37.0,27.0,18.0,47.0,46.0,41.0,75.0,6.0,113.0,23.0,50.0
Mnichovo Hradiště,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,136.0,49.0,6.0,36.0,39.0,10.0,58.0,48.0,0.0,9.0,3.0,0.0,0.0,48.0,0.0,11.0,33.0,10.0,0.0,95.0,22.0,5.0,,,,,5.0,0.0,47.0,35.0,0.0,27.0,13.0,26.0,36.0,136.0,85.0,25.0,0.0,9.0,57.0,30.0,0.0,58.0,5.0,13.0,102.0,40.0,19.0,17.0,85.0,0.0,20.0,4.0,92.0,26.0,129.0,24.0,,19.0,15.0,10.0,0.0,13.0,43.0,46.0,0.0,0.0,55.0,28.0,173.0,16.0,,3.0,,,13.0,,,4.0,17.0,9.0,7.0,15.0,0.0,28.0,0.0,0.0,8.0,66.0,0.0,0.0,188.0,0.0,0.0,31.0,161.0,0.0,351.0,169.0,0.0,0.0,92.0,7.0,62.0,0.0,16.0,10.0,0.0,0.0,0.0,68.0,,,,0.0,13.0,0.0,33.0,0.0,19.0,136.0,84.0,0.0,86.0,0.0,0.0,0.0,9.0,0.0,0.0,115.0
Nepomuk,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,0.0,0.0,151.0,0.0,0.0,240.0,0.0,0.0,87.0,50.0,533.0,0.0,0.0,0.0,133.0,171.0,2.0,0.0,0.0,0.0,422.0,0.0,0.0,40.0,87.0,0.0,0.0,0.0,0.0,0.0,63.0,227.0,0.0,228.0,0.0,32.0,81.0,,0.0,43.0,5.0,20.0,52.0,61.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,46.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,89.0,10.0,,,,0.0,45.0,,,,,,,,,,,,,0.0,11.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,316.0,0.0,0.0,112.0,161.0,0.0,127.0,0.0,101.0,64.0,0.0,54.0,3.0,0.0,62.0,0.0,0.0,0.0,80.0,0.0,224.0,159.0,4.0,0.0,0.0,0.0,365.0,,,,,0.0,0.0
Opava,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,76.0,84.0,116.0,66.0,46.0,57.0,86.0,62.0,65.0,47.0,33.0,80.0,78.0,58.0,52.0,68.0,72.0,52.0,57.0,31.0,82.0,27.0,44.0,45.0,51.0,13.0,55.0,29.0,33.0,29.0,63.0,61.0,17.0,32.0,34.0,56.0,36.0,61.0,11.0,37.0,42.0,43.0,52.0,17.0,54.0,44.0,39.0,36.0,45.0,54.0,31.0,55.0,41.0,68.0,69.0,90.0,52.0,45.0,48.0,29.0,100.0,52.0,61.0,15.0,144.0,16.0,49.0,45.0,73.0,41.0,34.0,11.0,74.0,84.0,10.0,9.0,25.0,30.0,42.0,41.0,60.0,19.0,22.0,21.0,36.0,35.0,14.0,17.0,51.0,46.0,53.0,46.0,66.0,110.0,61.0,83.0,113.0,72.0,162.0,111.0,53.0,60.0,69.0,77.0,44.0,30.0,78.0,60.0,56.0,57.0,63.0,49.0,57.0,27.0,35.0,45.0,125.0,34.0,52.0,39.0,55.0,35.0,31.0,15.0,26.0,14.0,46.0,3.0,42.0,22.0,70.0,56.0
Pelhřimov,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,58.0,14.0,0.0,1.0,150.0,18.0,76.0,107.0,0.0,15.0,39.0,45.0,51.0,0.0,202.0,0.0,7.0,197.0,16.0,,,,,,,2.0,10.0,17.0,93.0,,,,6.0,0.0,44.0,17.0,17.0,0.0,9.0,24.0,157.0,0.0,0.0,0.0,2.0,0.0,55.0,0.0,0.0,0.0,96.0,123.0,49.0,46.0,107.0,53.0,173.0,241.0,27.0,11.0,0.0,26.0,,0.0,19.0,23.0,0.0,35.0,17.0,,,137.0,,0.0,22.0,30.0,12.0,17.0,85.0,60.0,40.0,46.0,,9.0,9.0,8.0,145.0,0.0,66.0,77.0,7.0,30.0,0.0,36.0,18.0,129.0,279.0,151.0,0.0,43.0,158.0,183.0,22.0,9.0,164.0,0.0,289.0,37.0,0.0,0.0,38.0,93.0,56.0,42.0,36.0,61.0,0.0,110.0,0.0,31.0,,0.0,8.0,,12.0,0.0,0.0,0.0,0.0,50.0,0.0,114.0
městská část břevnov,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,0.0,55.0,80.0,18.0,1.0,14.0,5.0,7.0,79.0,0.0,61.0,122.0,156.0,40.0,5.0,0.0,0.0,21.0,0.0,17.0,0.0,16.0,32.0,34.0,47.0,0.0,41.0,11.0,0.0,29.0,68.0,16.0,48.0,37.0,18.0,6.0,7.0,58.0,25.0,81.0,22.0,14.0,29.0,10.0,16.0,51.0,23.0,42.0,46.0,112.0,0.0,69.0,13.0,19.0,165.0,42.0,80.0,45.0,0.0,30.0,0.0,20.0,106.0,8.0,23.0,27.0,,12.0,0.0,3.0,28.0,87.0,,6.0,0.0,29.0,14.0,29.0,63.0,0.0,22.0,21.0,12.0,0.0,0.0,0.0,61.0,24.0,61.0,20.0,0.0,80.0,0.0,64.0,62.0,88.0,59.0,41.0,186.0,68.0,13.0,418.0,0.0,53.0,3.0,17.0,0.0,0.0,0.0,61.0,4.0,0.0,103.0,0.0,36.0,33.0,0.0,79.0,12.0,35.0,91.0,35.0,0.0,20.0,43.0,34.0,48.0,,,0.0,16.0,26.0
městská část chodov,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,43.0,32.0,38.0,29.0,28.0,28.0,37.0,37.0,38.0,35.0,42.0,32.0,47.0,34.0,64.0,36.0,43.0,68.0,25.0,41.0,26.0,28.0,21.0,36.0,31.0,45.0,29.0,41.0,38.0,44.0,29.0,64.0,47.0,44.0,44.0,57.0,55.0,62.0,86.0,52.0,49.0,50.0,44.0,41.0,48.0,43.0,36.0,83.0,85.0,81.0,80.0,80.0,52.0,60.0,66.0,61.0,67.0,50.0,41.0,70.0,49.0,47.0,88.0,42.0,37.0,24.0,45.0,45.0,31.0,30.0,14.0,44.0,45.0,49.0,36.0,28.0,36.0,44.0,56.0,49.0,39.0,25.0,18.0,33.0,37.0,28.0,43.0,27.0,40.0,59.0,53.0,33.0,41.0,63.0,44.0,77.0,91.0,111.0,61.0,71.0,67.0,99.0,92.0,81.0,142.0,66.0,61.0,58.0,48.0,63.0,112.0,33.0,52.0,58.0,54.0,41.0,29.0,37.0,110.0,38.0,69.0,76.0,42.0,37.0,38.0,48.0,65.0,40.0,24.0,18.0,32.0,31.0
Říčany,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,0.0,38.0,60.0,26.0,55.0,55.0,68.0,0.0,80.0,37.0,0.0,0.0,4.0,19.0,61.0,35.0,35.0,122.0,33.0,23.0,17.0,155.0,9.0,0.0,55.0,0.0,24.0,0.0,0.0,66.0,66.0,105.0,69.0,104.0,6.0,50.0,3.0,0.0,46.0,170.0,2.0,0.0,69.0,60.0,84.0,10.0,0.0,59.0,0.0,85.0,28.0,38.0,0.0,147.0,0.0,10.0,23.0,12.0,8.0,121.0,209.0,0.0,309.0,0.0,3.0,69.0,12.0,0.0,0.0,56.0,47.0,39.0,0.0,55.0,0.0,124.0,48.0,5.0,14.0,9.0,7.0,0.0,107.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,25.0,48.0,169.0,133.0,0.0,0.0,0.0,160.0,85.0,0.0,0.0,0.0,39.0,17.0,3.0,9.0,0.0,41.0,73.0,,0.0,0.0,0.0,80.0,0.0,45.0,0.0,0.0,8.0,,,,13.0,0.0,46.0,58.0,0.0
