City,Kategorie,Typ,Stav objektu,Konstrukce,Vlastnictví,Užitná plocha od,Užitná plocha do,V okolí,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Benešov,Pronájem,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,0.0,63.0,57.0,27.0,25.0,27.0,8.0,9.0,16.0,0.0,7.0,2.0,70.0,,,,9.0,24.0,15.0,23.0,,0.0,21.0,14.0,0.0,3.0,19.0,13.0,26.0,9.0,28.0,25.0,9.0,49.0,23.0,,11.0,0.0,43.0,26.0,12.0,34.0,25.0,25.0,22.0,27.0,73.0,35.0,16.0,15.0,28.0,17.0,14.0,0.0,1.0,0.0,77.0,14.0,29.0,0.0,40.0,26.0,23.0,41.0,21.0,0.0,25.0,0.0,0.0,24.0,58.0,6.0,55.0,,7.0,28.0,0.0,115.0,0.0,51.0,31.0,29.0,7.0,7.0,16.0,28.0,19.0,12.0,15.0,6.0,0.0,0.0,15.0,29.0,11.0,53.0,20.0,31.0,14.0,39.0,26.0,43.0,73.0,59.0,38.0,62.0,97.0,23.0,10.0,34.0,15.0,76.0,29.0,18.0,58.0,33.0,32.0,0.0,40.0,15.0,12.0,86.0,16.0,25.0,42.0,48.0,15.0,24.0,53.0,20.0,0.0,0.0
Kolín,Pronájem,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,21.0,21.0,61.0,27.0,23.0,32.0,16.0,7.0,23.0,28.0,16.0,16.0,12.0,21.0,28.0,30.0,26.0,15.0,15.0,17.0,31.0,13.0,18.0,12.0,19.0,21.0,13.0,61.0,14.0,7.0,26.0,13.0,18.0,34.0,12.0,24.0,20.0,10.0,21.0,31.0,17.0,43.0,19.0,24.0,9.0,7.0,30.0,3.0,41.0,19.0,3.0,21.0,31.0,24.0,24.0,19.0,15.0,3.0,33.0,17.0,34.0,14.0,24.0,26.0,15.0,52.0,36.0,12.0,7.0,24.0,12.0,24.0,30.0,22.0,5.0,10.0,4.0,12.0,7.0,33.0,10.0,11.0,15.0,10.0,21.0,21.0,22.0,5.0,24.0,13.0,12.0,15.0,11.0,17.0,10.0,25.0,15.0,22.0,34.0,20.0,22.0,26.0,9.0,12.0,23.0,37.0,38.0,17.0,34.0,24.0,30.0,21.0,36.0,18.0,22.0,32.0,26.0,28.0,12.0,22.0,19.0,27.0,12.0,20.0,33.0,25.0,31.0,39.0,52.0,23.0,20.0,30.0
Kralupy nad Vltavou,Pronájem,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,59.0,41.0,24.0,42.0,41.0,22.0,49.0,38.0,10.0,71.0,43.0,21.0,10.0,23.0,24.0,13.0,26.0,25.0,20.0,19.0,11.0,17.0,16.0,17.0,7.0,13.0,11.0,22.0,12.0,11.0,41.0,14.0,8.0,11.0,2.0,6.0,11.0,187.0,7.0,16.0,3.0,12.0,10.0,9.0,22.0,20.0,27.0,16.0,11.0,33.0,11.0,20.0,17.0,8.0,34.0,29.0,22.0,22.0,26.0,10.0,15.0,38.0,22.0,21.0,49.0,35.0,23.0,51.0,23.0,13.0,21.0,26.0,39.0,21.0,22.0,42.0,29.0,21.0,29.0,38.0,20.0,29.0,33.0,14.0,15.0,14.0,18.0,21.0,31.0,20.0,13.0,19.0,12.0,11.0,11.0,7.0,10.0,9.0,17.0,25.0,28.0,9.0,20.0,16.0,26.0,28.0,14.0,15.0,19.0,13.0,16.0,23.0,17.0,23.0,14.0,14.0,13.0,9.0,21.0,21.0,54.0,27.0,33.0,15.0,22.0,38.0,15.0,15.0,31.0,23.0,10.0,5.0
Mnichovo Hradiště,Pronájem,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,67.0,,,,0.0,0.0,,,,,,,,,,,0.0,19.0,0.0,34.0,,,,,,,0.0,0.0,42.0,,,0.0,0.0,,,,,,,,,9.0,0.0,15.0,,,0.0,0.0,,,,,,0.0,17.0,,,,,2.0,,,7.0,6.0,,,5.0,0.0,22.0,,0.0,0.0,28.0,0.0,4.0,0.0,33.0,52.0,,,4.0,22.0,0.0,17.0,,0.0,16.0,9.0,,4.0,8.0,,0.0,0.0,45.0,64.0,21.0,0.0,61.0,17.0,9.0,26.0,9.0,0.0,26.0,30.0,0.0,21.0,50.0,92.0,,0.0,13.0,0.0,0.0,84.0,0.0,27.0,0.0,8.0,0.0,18.0,,,14.0,6.0,0.0,0.0,46.0,0.0,0.0,0.0
Nepomuk,Pronájem,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,,18.0,,,,,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,,,,,,,,,,,,,,,,0.0,22.0,,,,0.0,0.0,47.0,25.0,,,,,,,,,,,,,,,,21.0,,,,,,,0.0,34.0,,,,,,0.0,0.0,42.0,,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,54.0,0.0,62.0,15.0,21.0,
Opava,Pronájem,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,21.0,14.0,29.0,28.0,22.0,23.0,35.0,33.0,17.0,27.0,20.0,16.0,13.0,16.0,8.0,16.0,19.0,23.0,19.0,13.0,12.0,10.0,18.0,14.0,14.0,22.0,5.0,10.0,10.0,17.0,21.0,9.0,16.0,5.0,16.0,26.0,21.0,14.0,9.0,13.0,12.0,19.0,10.0,9.0,4.0,21.0,17.0,8.0,9.0,19.0,9.0,12.0,19.0,20.0,15.0,21.0,29.0,15.0,16.0,9.0,25.0,16.0,21.0,21.0,17.0,22.0,17.0,20.0,21.0,23.0,27.0,8.0,24.0,27.0,17.0,22.0,22.0,25.0,21.0,13.0,20.0,17.0,12.0,23.0,28.0,28.0,28.0,21.0,15.0,25.0,29.0,21.0,29.0,15.0,31.0,17.0,40.0,33.0,34.0,24.0,41.0,21.0,35.0,32.0,24.0,18.0,30.0,13.0,31.0,23.0,31.0,27.0,22.0,15.0,29.0,33.0,21.0,6.0,18.0,18.0,35.0,11.0,9.0,20.0,26.0,28.0,22.0,29.0,24.0,17.0,36.0,35.0
Pelhřimov,Pronájem,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,,,,,,2.0,,,,,,,,,,,,0.0,54.0,,,10.0,,,,,,,,,,,7.0,,,,,,,6.0,,,,,,0.0,13.0,,,,,,,,,0.0,16.0,39.0,0.0,48.0,0.0,22.0,,,,,,,8.0,,,,,,6.0,,7.0,69.0,55.0,73.0,89.0,80.0,,60.0,38.0,1.0,29.0,72.0,13.0,18.0,34.0,32.0,29.0,18.0,,0.0,12.0,28.0,0.0,19.0,9.0,60.0,61.0,0.0,6.0,65.0,62.0,44.0,45.0,13.0,0.0,9.0,0.0,0.0,33.0,12.0,58.0,59.0,64.0,94.0,22.0,0.0,36.0,25.0,77.0,15.0,32.0,3.0,11.0,17.0,15.0,14.0
městská část břevnov,Pronájem,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,32.0,28.0,37.0,19.0,40.0,30.0,27.0,43.0,32.0,7.0,25.0,11.0,22.0,19.0,8.0,10.0,3.0,,2.0,19.0,2.0,14.0,0.0,6.0,9.0,26.0,9.0,20.0,20.0,14.0,0.0,18.0,7.0,12.0,0.0,3.0,8.0,8.0,14.0,23.0,45.0,5.0,0.0,0.0,38.0,15.0,14.0,25.0,21.0,9.0,65.0,33.0,22.0,75.0,16.0,44.0,24.0,33.0,30.0,0.0,24.0,11.0,17.0,55.0,9.0,46.0,43.0,29.0,64.0,48.0,39.0,8.0,18.0,28.0,20.0,94.0,29.0,41.0,39.0,23.0,18.0,0.0,0.0,56.0,71.0,11.0,57.0,64.0,12.0,16.0,29.0,8.0,12.0,10.0,13.0,23.0,34.0,38.0,88.0,59.0,47.0,13.0,8.0,39.0,17.0,9.0,27.0,42.0,43.0,13.0,30.0,1.0,19.0,0.0,36.0,2.0,12.0,19.0,26.0,22.0,21.0,23.0,35.0,0.0,41.0,34.0,25.0,23.0,16.0,18.0,30.0,16.0
městská část chodov,Pronájem,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,24.0,24.0,23.0,25.0,27.0,34.0,22.0,23.0,19.0,16.0,18.0,17.0,12.0,20.0,16.0,14.0,29.0,27.0,13.0,12.0,6.0,11.0,11.0,16.0,14.0,12.0,13.0,10.0,18.0,12.0,12.0,12.0,12.0,8.0,9.0,13.0,8.0,16.0,16.0,15.0,19.0,25.0,21.0,25.0,27.0,21.0,12.0,17.0,19.0,15.0,13.0,25.0,20.0,25.0,37.0,26.0,26.0,15.0,25.0,18.0,25.0,23.0,18.0,24.0,31.0,29.0,34.0,31.0,33.0,37.0,30.0,31.0,43.0,32.0,53.0,39.0,44.0,55.0,55.0,51.0,37.0,21.0,27.0,19.0,20.0,22.0,32.0,7.0,13.0,25.0,22.0,13.0,17.0,13.0,13.0,15.0,19.0,19.0,17.0,21.0,24.0,24.0,24.0,21.0,23.0,27.0,23.0,17.0,16.0,15.0,20.0,24.0,24.0,25.0,25.0,18.0,13.0,18.0,22.0,27.0,23.0,34.0,17.0,21.0,21.0,18.0,27.0,19.0,29.0,21.0,34.0,28.0
Říčany,Pronájem,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,30.0,,23.0,0.0,9.0,44.0,18.0,8.0,107.0,28.0,84.0,11.0,0.0,15.0,2.0,39.0,37.0,0.0,,10.0,33.0,9.0,18.0,20.0,5.0,20.0,0.0,24.0,0.0,67.0,0.0,,3.0,5.0,19.0,14.0,,0.0,14.0,7.0,22.0,23.0,0.0,49.0,10.0,,11.0,0.0,37.0,0.0,24.0,34.0,49.0,0.0,19.0,3.0,0.0,0.0,13.0,0.0,44.0,32.0,0.0,6.0,0.0,29.0,125.0,36.0,35.0,0.0,0.0,15.0,12.0,63.0,21.0,0.0,63.0,69.0,87.0,136.0,49.0,60.0,44.0,7.0,32.0,0.0,3.0,6.0,18.0,10.0,65.0,15.0,54.0,58.0,19.0,5.0,60.0,6.0,8.0,12.0,19.0,34.0,68.0,4.0,40.0,60.0,25.0,23.0,13.0,6.0,0.0,28.0,0.0,32.0,0.0,0.0,9.0,10.0,0.0,11.0,10.0,10.0,16.0,18.0,26.0,48.0,60.0,0.0,26.0,17.0,7.0,23.0
