City,Kategorie,Typ,Stav objektu,Konstrukce,Vlastnictví,Užitná plocha od,Užitná plocha do,V okolí,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Benešov,Pronájem,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,13.0,13.0,24.0,22.0,19.0,22.0,31.0,27.0,27.0,24.0,21.0,32.0,29.0,,,,67.0,41.0,47.0,34.0,,26.0,26.0,15.0,44.0,53.0,59.0,42.0,47.0,78.0,63.0,53.0,65.0,69.0,63.0,,102.0,82.0,70.0,53.0,64.0,48.0,47.0,63.0,70.0,68.0,40.0,42.0,101.0,61.0,46.0,63.0,75.0,61.0,54.0,33.0,68.0,48.0,56.0,51.0,72.0,70.0,69.0,63.0,56.0,61.0,47.0,48.0,33.0,58.0,43.0,40.0,26.0,,65.0,42.0,59.0,34.0,46.0,42.0,50.0,80.0,103.0,89.0,106.0,63.0,105.0,107.0,108.0,137.0,178.0,101.0,85.0,65.0,48.0,43.0,67.0,65.0,41.0,39.0,45.0,38.0,40.0,38.0,40.0,38.0,46.0,52.0,70.0,62.0,58.0,68.0,63.0,55.0,54.0,62.0,65.0,48.0,89.0,92.0,88.0,82.0,112.0,69.0,65.0,55.0,63.0,59.0,137.0,108.0,161.0,105.0
Kolín,Pronájem,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,27.0,35.0,23.0,29.0,27.0,25.0,34.0,34.0,43.0,43.0,40.0,45.0,45.0,37.0,32.0,52.0,52.0,50.0,22.0,40.0,43.0,57.0,50.0,37.0,58.0,78.0,84.0,79.0,59.0,50.0,51.0,55.0,71.0,81.0,118.0,63.0,116.0,69.0,91.0,81.0,85.0,92.0,77.0,74.0,65.0,60.0,60.0,64.0,103.0,97.0,97.0,64.0,98.0,60.0,65.0,79.0,59.0,81.0,80.0,57.0,73.0,72.0,71.0,91.0,83.0,88.0,98.0,124.0,79.0,78.0,107.0,55.0,102.0,137.0,191.0,155.0,195.0,176.0,89.0,193.0,195.0,135.0,117.0,76.0,114.0,106.0,181.0,234.0,128.0,143.0,86.0,112.0,66.0,58.0,78.0,47.0,83.0,69.0,69.0,56.0,62.0,73.0,77.0,54.0,45.0,47.0,56.0,49.0,67.0,54.0,53.0,50.0,72.0,67.0,66.0,69.0,56.0,58.0,82.0,93.0,123.0,82.0,102.0,79.0,67.0,66.0,82.0,71.0,134.0,110.0,61.0,62.0
Kralupy nad Vltavou,Pronájem,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,13.0,11.0,16.0,13.0,12.0,11.0,12.0,19.0,22.0,19.0,22.0,29.0,36.0,33.0,25.0,34.0,30.0,34.0,34.0,44.0,47.0,49.0,53.0,40.0,54.0,68.0,74.0,66.0,57.0,55.0,55.0,74.0,65.0,96.0,81.0,78.0,167.0,132.0,82.0,64.0,110.0,68.0,77.0,91.0,98.0,79.0,78.0,70.0,93.0,81.0,66.0,59.0,92.0,59.0,61.0,58.0,75.0,55.0,68.0,63.0,76.0,71.0,70.0,60.0,53.0,49.0,65.0,61.0,67.0,71.0,62.0,44.0,56.0,47.0,65.0,67.0,54.0,42.0,49.0,68.0,66.0,73.0,77.0,72.0,73.0,70.0,86.0,95.0,83.0,86.0,93.0,90.0,84.0,87.0,94.0,111.0,92.0,79.0,83.0,57.0,86.0,65.0,55.0,68.0,77.0,84.0,77.0,56.0,132.0,100.0,80.0,67.0,85.0,74.0,85.0,119.0,96.0,99.0,88.0,83.0,102.0,114.0,101.0,99.0,77.0,68.0,94.0,102.0,131.0,101.0,93.0,107.0
Mnichovo Hradiště,Pronájem,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,7.0,,,,568.0,34.0,,,,,,,,,,,31.0,16.0,34.0,23.0,,,,,,,69.0,39.0,35.0,,,133.0,10.0,,,,,,,,,66.0,79.0,59.0,,,98.0,4.0,,,,,,19.0,59.0,,,,,81.0,,,46.0,98.0,,,65.0,21.0,23.0,,58.0,19.0,51.0,75.0,69.0,29.0,44.0,43.0,,,73.0,51.0,64.0,48.0,,60.0,60.0,94.0,,134.0,94.0,,86.0,46.0,51.0,33.0,58.0,37.0,47.0,50.0,39.0,35.0,59.0,57.0,36.0,55.0,50.0,37.0,40.0,41.0,,49.0,59.0,89.0,82.0,25.0,231.0,65.0,84.0,48.0,74.0,85.0,,,87.0,83.0,46.0,86.0,119.0,60.0,45.0,38.0
Nepomuk,Pronájem,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,,13.0,,,,,16.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,54.0,,44.0,29.0,21.0,22.0,24.0,23.0,24.0,20.0,24.0,,,,,,,,,,,,,,,,40.0,27.0,,,,58.0,37.0,43.0,43.0,,,,,,,,,,,,,,,,32.0,,,,,,,45.0,33.0,,,,,,59.0,30.0,28.0,,,,,,,,,,,,,72.0,69.0,49.0,58.0,42.0,42.0,57.0,92.0,78.0,52.0,
Opava,Pronájem,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,21.0,18.0,24.0,20.0,23.0,27.0,27.0,18.0,26.0,20.0,34.0,45.0,46.0,58.0,40.0,38.0,31.0,28.0,34.0,40.0,50.0,54.0,27.0,38.0,66.0,86.0,83.0,60.0,57.0,58.0,47.0,67.0,59.0,73.0,55.0,49.0,104.0,79.0,66.0,61.0,50.0,46.0,57.0,60.0,72.0,47.0,48.0,111.0,72.0,55.0,79.0,58.0,59.0,36.0,48.0,46.0,49.0,52.0,50.0,46.0,55.0,45.0,64.0,53.0,54.0,52.0,40.0,48.0,46.0,36.0,52.0,39.0,52.0,53.0,58.0,55.0,45.0,47.0,54.0,68.0,60.0,62.0,60.0,46.0,59.0,41.0,52.0,74.0,51.0,52.0,45.0,42.0,46.0,36.0,35.0,31.0,36.0,42.0,37.0,36.0,39.0,36.0,39.0,37.0,42.0,39.0,37.0,32.0,42.0,43.0,47.0,42.0,48.0,48.0,56.0,64.0,58.0,71.0,80.0,62.0,81.0,93.0,82.0,56.0,49.0,50.0,61.0,58.0,102.0,78.0,72.0,59.0
Pelhřimov,Pronájem,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,,,,,,46.0,,,,,,,,,,,,22.0,13.0,,,28.0,,,,,,,,,,,47.0,,,,,,,56.0,,,,,,32.0,31.0,,,,,,,,,30.0,46.0,35.0,35.0,41.0,49.0,40.0,,,,,,,40.0,,,,,,52.0,,42.0,43.0,31.0,33.0,36.0,43.0,,30.0,45.0,43.0,52.0,75.0,51.0,63.0,51.0,49.0,35.0,28.0,,38.0,48.0,33.0,51.0,42.0,47.0,36.0,8.0,43.0,59.0,34.0,37.0,35.0,38.0,55.0,104.0,52.0,54.0,53.0,60.0,54.0,47.0,59.0,56.0,71.0,78.0,63.0,95.0,53.0,46.0,43.0,55.0,102.0,117.0,138.0,67.0,69.0
městská část břevnov,Pronájem,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,30.0,23.0,26.0,18.0,19.0,15.0,21.0,19.0,59.0,59.0,19.0,25.0,11.0,56.0,79.0,60.0,84.0,,90.0,80.0,49.0,57.0,83.0,134.0,112.0,141.0,62.0,51.0,65.0,42.0,50.0,61.0,98.0,119.0,28.0,117.0,198.0,95.0,70.0,54.0,98.0,139.0,151.0,81.0,82.0,103.0,57.0,50.0,82.0,48.0,40.0,60.0,69.0,69.0,53.0,92.0,67.0,65.0,77.0,57.0,63.0,66.0,42.0,31.0,39.0,45.0,37.0,47.0,44.0,47.0,53.0,46.0,44.0,55.0,50.0,47.0,41.0,52.0,64.0,81.0,63.0,72.0,64.0,68.0,71.0,69.0,88.0,188.0,98.0,118.0,172.0,145.0,109.0,130.0,100.0,87.0,140.0,74.0,74.0,67.0,116.0,124.0,158.0,118.0,160.0,98.0,115.0,131.0,133.0,117.0,89.0,81.0,167.0,184.0,113.0,151.0,164.0,170.0,133.0,171.0,221.0,266.0,255.0,279.0,230.0,211.0,243.0,235.0,249.0,233.0,227.0,231.0
městská část chodov,Pronájem,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,52.0,27.0,28.0,19.0,20.0,26.0,30.0,31.0,63.0,54.0,57.0,41.0,56.0,36.0,46.0,53.0,49.0,55.0,74.0,98.0,113.0,85.0,107.0,82.0,111.0,129.0,134.0,102.0,91.0,89.0,104.0,133.0,119.0,144.0,126.0,118.0,139.0,125.0,83.0,66.0,79.0,72.0,76.0,76.0,80.0,96.0,74.0,61.0,73.0,71.0,65.0,56.0,74.0,44.0,48.0,72.0,76.0,60.0,61.0,58.0,74.0,68.0,55.0,87.0,111.0,120.0,124.0,103.0,45.0,39.0,47.0,33.0,52.0,42.0,39.0,42.0,37.0,45.0,51.0,65.0,62.0,65.0,76.0,64.0,93.0,76.0,134.0,449.0,141.0,145.0,218.0,178.0,148.0,140.0,156.0,138.0,149.0,159.0,123.0,114.0,105.0,121.0,101.0,140.0,124.0,119.0,127.0,191.0,151.0,156.0,127.0,120.0,141.0,118.0,143.0,181.0,152.0,161.0,152.0,152.0,265.0,263.0,280.0,236.0,223.0,209.0,233.0,276.0,304.0,292.0,247.0,231.0
Říčany,Pronájem,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,31.0,,25.0,16.0,26.0,26.0,12.0,28.0,17.0,16.0,25.0,30.0,15.0,54.0,37.0,37.0,13.0,88.0,,34.0,62.0,62.0,37.0,28.0,66.0,68.0,59.0,55.0,30.0,23.0,33.0,,98.0,96.0,73.0,67.0,,112.0,55.0,79.0,53.0,50.0,50.0,30.0,90.0,,86.0,79.0,79.0,76.0,59.0,55.0,86.0,50.0,54.0,121.0,75.0,33.0,88.0,65.0,74.0,105.0,42.0,95.0,51.0,37.0,40.0,53.0,44.0,70.0,42.0,37.0,58.0,40.0,56.0,58.0,48.0,44.0,54.0,78.0,72.0,46.0,47.0,56.0,66.0,91.0,170.0,186.0,101.0,102.0,107.0,76.0,62.0,77.0,57.0,75.0,75.0,95.0,89.0,70.0,87.0,45.0,47.0,47.0,43.0,56.0,78.0,42.0,98.0,107.0,77.0,59.0,58.0,59.0,267.0,124.0,70.0,83.0,145.0,126.0,154.0,105.0,146.0,66.0,68.0,49.0,127.0,150.0,149.0,125.0,82.0,58.0
